"Crest 3D White Brilliance Fluoride Anticavity Toothpaste, Vibrant",Toothpaste,Active Ingredients: Sodium Fluoride 0.243%; Inactive Ingredients:  GLYCERIN  HYDRATED SILICA  SODIUM HEXAMETAPHOSPHATE  WATER  PEG-6  FLAVOR  TRISODIUM PHOSPHATE  SODIUM LAURYL SULFATE  CARRAGEENAN  COCAMIDOPROPYL BETAINE  SODIUM SACCHARIN  PEG-20M OR PEG-23M  XANTHAN GUM  SUCRALOSE  MICA  TITANIUM DIOXIDE,4
"Crest 3 D White Professional Fluoride Anticavity Toothpaste, Ultra White",Toothpaste,ACTIVE INGREDIENTS: SODIUM MONOFLUOROPHOSPHATE 1.14%  INACTIVE INGREDIENTS WATER   CALCIUM PYROPHOSPHATE  GLYCERIN  HYDROGEN PEROXIDE (4% W/V)  SODIUM LAURYL SULFATE  FLAVOR  POLYACRYLATE CROSSPOLYMER-6  CETEARYL ALCOHOL  DISODIUM PYROPHOSPHATE  SUCRALOSE  TETRASODIUM PYROPHOSPHATE,4
"Crest 3 D White Brilliance Fluoride Anticavity Toothpaste, Vibrant",Toothpaste,Active Ingredients: Sodium Fluoride (0.243% W/V Fluoride Ion); Inactive Ingredients: GLYCERIN  HYDRATED SILICA  SODIUM HEXAMETAPHOSPHATE  WATER  PEG-6  FLAVOR  SODIUM LAURYL SULFATE  TRISODIUM PHOSPHATE  COCAMIDOPROPYL BETAINE  SODIUM SACCHARIN  CARRAGEENAN  PVP  XANTHAN GUM  SUCRALOSE  MICA  TITANIUM DIOXIDE,4
Colgate Total Daily Repair Toothpaste Rating,Toothpaste,ACTIVE INGREDIETS: SODIUM FLUORIDE 0.24%  TRICLOSAN 0.30%  INACTIVE INGREDIENTS: WATER  HYDRATED SILICA  GLYCERIN  SORBITOL  PVM/MA COPOLYMER  SODIUM LAURYL SULFATE  CELLULOSE GUM  FLAVOR  SODIUM HYDROXIDE  PROPYLENE GLYCOL  CARRAGEENAN  SODIUM SACCHARIN  TITANIUM DIOXIDE,4
"Colgate Total Anticavity, Antigingivitis and Antisensitivity Toothpaste,",Toothpaste,  WATER  SORBITOL  HYDRATED SILICA  GLYCERIN  PEG-12  TETRASODIUM PYROPHOSPHATE  SODIUM LAURYL SULFATE  FLAVOR  ZINC PHOSPHATE  CELLULOSE GUM  SODIUM CITRATE  MICROCRYSTALLINE CELLULOSE  SODIUM SACCHARIN  COCAMIDOPROPYL BETAINE  PROPYLENE GLYCOL  XANTHAN GUM  CITRIC ACID  SUCRALOSE  TITANIUM DIOXIDE.,4
Colgate Max Fresh Anticavity Fluoride Toothpaste With Whitening Breath,Toothpaste,Active Ingredients: Sodium Fluoride 0.24%; Inactive Ingredients: SORBITOL  WATER  HYDRATED SILICA  PEG-12  SODIUM LAURYL SULFATE  FLAVOR  CELLULOSE GUM  TETRASODIUM PYROPHOSPHATE  COCAMIDOPROPYL BETAINE  SODIUM SACCHARIN  HYDROXYPROPYL METHYLCELLULOSE  BLUE 1  TITANIUM DIOXIDE  YELLOW 5,4
Colgate Cavity Protection Toothpaste Rating,Toothpaste,Active Ingredient: Sodium Monofluorophosphate (0.76%) (0.15% w/v Fluoride Ion). Inactive Ingredients: Dicalcium Phosphate Dihydrate  Water  Glycerin  Sodium Lauryl Sulfate  Cellulose Gum  Flavor  Tetrasodium Pyrophosphate  Sodium Saccharin.,4
"Colgate Baking Soda & Peroxide Whitening Anticavity Fluoride Toothpaste,",Toothpaste,Active Ingredients: Sodium Monofluorophosphate (0.14% w/v Fluoride Ion) 0.76%; Inactive Ingredients: INACTIVE INGREDIENTS: GLYCERIN  HYDRATED SILICA  WATER  SODIUM BICARBONATE  PEG-12  SODIUM LAURYL SULFATE  FLAVOR  SODIUM HYDROXIDE  CELLULOSE GUM  CARRAGEENAN  SODIUM SACCHARIN  CALCIUM PEROXIDE  TITANIUM DIOXIDE,4
"Chapstick Total Hydration Vitamin Enriched Tinted Lip Oil, Sheer Plum",Lip Balm,OCTYLDODECANOL  RICINUS COMMUNIS (CASTOR) SEED OIL  ETHYLCELLULOSE  CAPRYLIC/CAPRIC TRIGLYCERIDE  TRIHYDROXYSTEARIN  PHENOXYETHANOL  POLYGLYCERYL-3 DIISOSTEARATE  FLAVOR  RED 33 LAKE  LINUM USITATISSIMUM (LINSEED) SEED OIL  OLEA EUROPAEA (OLIVE) FRUIT OIL  RIBES NIGRUM (BLACK CURRANT) SEED OIL  TOCOPHEROL  ASCORBYL PALMITATE  ETHYLHEXYLGLYCERIN  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  WATER  GLYCINE SOJA (SOYBEAN) OIL  CITRUS GRANDIS (GRAPEFRUIT) PEEL EXTRACT,4
"Arm & Hammer Kids! Healthy Teeth Fluoride Anticavity Toothpaste, Fruit",Toothpaste,"Active Ingredients: Sodium fluoride
(0.15% w/v fluoride ion) 0.24%; Inactive Ingredients: SORBITOL  WATER  HYDRATED SILICA  GLYCERIN  CELLULOSE GUM  NATURAL FLAVOR  COCAMIDOPROPYL BETAINE  STEVIA REBAUDIANA LEAF EXTRACT  SODIUM BICARBONATE.",4
